site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper,GPP_Rhat,ER_Rhat,K600_Rhat,msgs.fit,warnings,errors,DO_fit
DL,2021-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
DL,2021-07-01,8.862518850795578,7.474178323494263,10.325077591315734,-9.89800410283403,-11.738991391435693,-8.1464897162252,8.968483761872623,7.505655133780797,10.547205259497183,1.0102683812968871,1.0090787403994124,1.0096077815382947,w      ,,,NA
DL,2021-07-02,9.930374310721865,8.884921777898082,10.989918802816199,-8.241389279356905,-9.438880021786236,-7.096551667802352,6.106221672946293,5.297497441329401,6.908083617063822,1.0159072894609928,1.0137659010422286,1.0087722911220363,w      ,,,NA
DL,2021-07-03,9.44926203240994,8.409314052124161,10.507049195806795,-8.012899368239609,-9.225399875706776,-6.80073926699693,6.081806893388363,5.275772075937765,6.860209462135904,1.0031997184658583,1.0007872537303284,1.0045194914111009,w      ,,,NA
DL,2021-07-04,8.008155476973837,6.875469730962834,9.068927035888768,-7.7928183751747,-9.072490438995375,-6.420768332313901,6.596353271889584,5.5264342279799585,7.623997547487476,1.013332752519054,1.0120944653757702,1.0076058821289091,w      ,,,NA
DL,2021-07-05,8.892620776692844,7.707390962116666,10.110939014188554,-8.38277518481868,-9.765067711622674,-7.0885505271485805,7.724558531417691,6.565783888131068,8.851107704744102,1.007077186498529,1.005985025684724,1.0082862235925436,w      ,,,NA
DL,2021-07-06,9.317332487516085,8.29416694038285,10.324701165147449,-8.02883676270168,-9.173346919211962,-6.858178103400822,5.838022845748918,5.043014187506083,6.607865879129645,1.0114323807141388,1.0083210604435593,1.0083820743256593,w      ,,,NA
DL,2021-07-07,5.394780656678153,4.404633145358591,6.404823395452078,-6.247358530571115,-7.661152515508096,-4.857636295156283,6.884169926606933,5.624692702643412,8.305725304508979,1.003577596539169,1.0033282246541932,1.002351509866892,w      ,,,NA
DL,2021-07-08,7.698855678849884,6.6362411718182726,8.89973300886414,-7.149723517812873,-8.501599022297059,-5.896708185878235,6.729875771769397,5.679766935967491,7.897958942453604,1.0173176107250441,1.0141900923861769,1.0155457998890465,w      ,,,NA
DL,2021-07-09,6.5069414126913685,5.509746256660277,7.581615532696725,-6.404456600993939,-7.767951886893946,-5.197973427518865,6.626063979263808,5.485273109063191,7.826155353926342,1.0171612336091918,1.0150165357752874,1.0137175280031832,w      ,,,NA
DL,2021-07-10,7.236588528056181,6.114386258080548,8.305224012867194,-7.077484891068962,-8.374099352852955,-5.820214718721185,7.001405937326066,5.819208992942846,8.128832368921481,1.0262490645837354,1.0267197274132047,1.0226431480161045,w      ,,,NA
DL,2021-07-11,7.459356312944584,6.342787232259905,8.596998698522803,-7.763030890966453,-9.154643152178037,-6.437805821254202,7.732617873688707,6.486458436439138,9.038781242429772,1.016403543240677,1.0159342501322262,1.0148170271215804,w      ,,,NA
DL,2021-07-12,7.6388632888244885,6.386691177911901,8.795833558216497,-7.802696294892665,-9.158150458814188,-6.3087841299307215,7.5527248579796,6.17939160211687,8.767400552238696,1.006785698818502,1.0079887787127992,1.0043619387016713,w      ,,,NA
DL,2021-07-13,6.86921463458754,5.964497750524065,7.936653249460143,-7.117696887467746,-8.44209043120821,-5.8974885132399635,6.461388186512414,5.409920352060703,7.545039766865916,1.0068120506474385,1.003920880297137,1.0042040477584917,w      ,,,NA
DL,2021-07-14,8.505320061933597,7.272343199613306,9.759076080176364,-8.281418517513536,-9.638180917543325,-6.85281349641782,7.213474323919809,6.076769210026285,8.308922060329413,1.0207927502598717,1.0187400876017474,1.0161502303008896,w      ,,,NA
DL,2021-07-15,11.92690083308419,10.441195901436624,13.491246861376032,-11.334271343061467,-13.02889446764876,-9.728555835876257,10.716574559045272,9.266998122983546,12.164809250394484,1.0087746107741526,1.008258496971085,1.0082084853011037,w      ,,,NA
DL,2021-07-16,11.917941654075127,10.539179307042522,13.419540486071229,-10.927055477265071,-12.475260258556547,-9.408035792855518,10.599951652606833,9.26749231536595,12.00034965398653,1.0030924301962632,1.0027246458829218,1.0038827301493345,w      ,,,NA
DL,2021-07-17,9.415699486424383,8.237118148153467,10.606280711652937,-9.115125681835229,-10.441513491741816,-7.800147962146643,8.114895588819522,6.9415338351554174,9.285333508050844,1.0287150252037944,1.0208514227640073,1.0258764046796711,w      ,,,NA
DL,2021-07-18,11.369137517523743,9.974159181950489,12.817301004065905,-10.330906641232568,-11.821132611661994,-8.786057814682827,9.310918195650409,8.049986289668084,10.616831006902157,1.0119874433046503,1.0123042986899242,1.0080283760520563,w      ,,,NA
