site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper,light,q.cms,epil_gm2_fit,fila_gm2_fit,epil_chla_mgm2_fit,fila_chla_mgm2_fit,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,log_q
GC,2020-07-19,8.49945108921959,7.695534867084642,9.437778536506242,-6.649949305962494,-7.666185506580529,-5.737098153746284,7.102406852907598,6.318078101496399,7.988933342338813,NA,24.66723307844803,16.316461818068106,107.333002348158,31.26014311389762,187.90149999754576,2.944449777647593,18.22926662468835,6.517654827713001,28.227972932786297,3.205475766912208
GC,2020-07-20,8.123460795116245,7.199528693977322,9.006405769705909,-6.497558634276912,-7.4386651227318845,-5.528032326340351,6.951105865467946,6.0337781421577965,7.805795944466598,NA,23.42112715944491,16.066804762440572,106.62444417544376,30.99491486854991,188.0313167501394,2.847456760250301,17.857806838587408,6.29716560341835,27.39322436749368,3.153638485083396
GC,2020-07-21,7.878704213124357,7.036645584394248,8.698864435387945,-6.396266452389543,-7.269952687386806,-5.533527134304155,6.588603914631898,5.75935979629928,7.396290539240417,NA,22.373265363919568,15.795808219265004,105.91460573231755,30.723149134899938,187.4357013749924,2.7585343615548026,17.499092554295967,6.094734893254204,26.653609979121676,3.107866735520772
GC,2020-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.438685924667233,15.505744631173432,105.20327359383371,30.4455941477338,186.16370787633423,2.6774246855737056,17.1532769475872,5.910007830194624,26.005007507458732,3.065197043497154
GC,2020-07-23,4.48327641743321,3.6933365217064704,5.289836507089248,-4.663729345607362,-5.678512867492477,-3.566348526327763,6.113991367899789,4.949889748968691,7.343243056201238,NA,21.636930048145,15.2002596376639,104.49017648072272,30.163437420283636,184.3029928241994,2.6041808416751246,16.820626298952945,5.743043680584822,25.450169124382068,3.0744015792262256
GC,2020-07-24,7.095309725874353,6.1731533998530725,7.942636971052156,-6.951631797206592,-8.005772352470656,-5.881016156912569,7.471846218292367,6.4664769823465384,8.476513930098394,NA,21.806853582554517,14.883271265918795,103.77503158476728,29.877954564289585,181.94883181890364,2.538969177480426,16.501431805110222,5.594009934898571,24.993443472660793,3.0822243049074345
GC,2020-07-25,6.675379335215727,5.907505557516372,7.41377624636071,-5.6890922957850005,-6.511166081312197,-4.790258781863945,6.070456054089878,5.264156770051094,6.911293089152689,NA,20.900594732370433,14.55869754312052,103.0575560977502,29.590421191491775,179.19650046076512,2.4819273397415564,16.195957026956027,5.462969904326908,24.637072473301043,3.0397776146601774
GC,2020-07-26,6.33424551427199,5.567781922234088,7.1771532059491046,-5.572454834882988,-6.47001466293813,-4.6402924843183735,6.0541534930336836,5.169214825375764,6.955396258681351,NA,19.456244689889548,14.230456496451485,102.33746721145413,29.30211291363039,176.14127435010013,2.433067433865296,15.904405839001551,5.349740846721196,24.378967316193744,2.9681680822820544
GC,2020-07-27,6.633677750110792,5.873272936036345,7.449193642957431,-6.101600667619111,-7.037094115795325,-5.221790216091949,6.22541615822124,5.3483154433010744,7.112678137318904,NA,18.323421127159445,13.902466153094082,101.6144821176618,29.01430534244556,172.8784290872247,2.3922010391581905,15.626898098268576,5.253785806369404,24.211563908974775,2.9081800845606054
GC,2020-07-28,6.207311671394356,5.4006674813337865,7.013305828304442,-6.143745714076584,-7.168536224550658,-5.150639432918537,6.601308677650035,5.642204640117231,7.614113038938801,NA,17.19059756442934,13.5786652489635,100.88831423472864,28.728326782758607,169.50239304633078,2.358929921676522,15.363468524252369,5.174209740045449,24.123086005395,2.8443625811192033
GC,2020-07-29,7.222440945793146,6.130067404612085,8.270142825314,-8.06955969347936,-9.374295282756504,-6.706016742915128,10.089190363429308,8.46546909008661,11.611544901369893,NA,16.76578872840555,13.263075354906023,100.15866188730052,28.44571631171533,166.10420569711025,2.332737227619563,15.11410268842568,5.109921426149515,24.102252629681452,2.8193404249437104
GC,2020-07-30,5.890369861383988,5.091805592729875,6.643048664231121,-5.534125059818824,-6.4578381232574165,-4.626865082664923,6.06454034732337,5.148214703226386,6.95221502194246,NA,16.142735768903993,12.959738750500811,99.42521962659578,28.168065699542687,162.77405928312908,2.312875542951915,14.878689149221191,5.059463797098742,24.13582004842969,2.7814701508883006
GC,2020-07-31,6.723981024586852,5.833541904289517,7.576385300730405,-6.576908448267455,-7.577399830632276,-5.51593275859347,7.152003719108686,6.137477960653263,8.182397136915277,NA,15.37807986406117,12.67269771532693,98.68768200383292,27.896966716467663,159.60214604795362,2.298344294877225,14.657001788339652,5.020980635025836,24.207944455140012,2.73294310999364
GC,2020-08-01,5.6255780805938045,4.859775625195267,6.433828929251056,-6.043513590205885,-7.088412013761876,-5.0914584698045235,6.69523887069659,5.683265221450314,7.782796851603327,0.8186576962036352,14.585103370150096,12.40599452896348,97.94574357023042,27.634011132717202,156.67865823515015,2.2879433489185788,14.448708355426191,4.992300266975841,24.30131028346283,2.680000690723441
GC,2020-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8532628384580281,14.18861512319456,12.16367147098957,97.1990988770067,27.38079071851829,154.09378808828544,2.2803663392712803,14.25339337189544,4.971078332796409,24.39891547109794,2.6524398911445695
GC,2020-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831925726221094,13.19739450580572,11.949498731965608,96.4474548342836,27.13888001714548,151.9302711982022,2.274388370260512,14.070619840093215,4.9550876392367975,24.48775832645401,2.580019424185351
GC,2020-08-04,6.419618233517132,5.551168474924031,7.26293290382401,-6.041620978324887,-7.026613824164362,-5.046322085643317,7.207906995795465,6.1989081579766285,8.219370909849168,0.8570348462493077,12.00792976493911,11.76586168112448,95.6905830003501,26.90975715849614,150.2334990511874,2.2692492204769907,13.900073190405935,4.9428202019241185,24.56585470728452,2.4855672452916626
GC,2020-08-05,8.717961231459755,7.509863128615196,10.037114149881663,-9.405175574605622,-10.932760400194873,-8.001393825919283,11.761053261924722,10.130843129443964,13.503752791539952,0.8412476292576391,11.526479750778815,11.613377936235684,94.92834609696388,26.694736425237515,149.0041369106723,2.2647939374018624,13.74161835817678,4.9337126268226,24.642113344265837,2.4446469755023
GC,2020-08-06,6.754852717378698,5.982531099648763,7.552838096480469,-6.387632925376554,-7.328594585143995,-5.44177892493523,7.356433277865728,6.392978231919662,8.408294500594033,0.7612626424200154,11.46983857264231,11.491129444081931,94.16069387583912,26.49495820243989,148.20653416448758,2.2613581825259517,13.59526326358415,4.927978767834824,24.731427901069093,2.439720857166244
GC,2020-08-07,8.13459760239262,7.197559722382221,9.123518285830643,-6.427353554142362,-7.439739528660662,-5.476962918061359,8.725368481786413,7.635512924774362,9.88960574073597,0.7786942636962475,11.413197394505804,11.397888350012396,93.38759404304068,26.311526277166244,147.7978406049794,2.2593896410027012,13.461016256206404,4.92602790586825,24.846181676751947,2.434770352006388
GC,2020-08-08,8.705312331854216,7.708574706274728,9.6566780254482,-6.8428609131055795,-7.830065701769174,-5.902563080372989,8.756385196768566,7.636291541804202,9.82530026500106,0.8216738740189787,10.931747380345511,11.33242679937629,92.60901430463338,26.145544436479536,147.73520602449497,2.259265482989014,13.338817528872918,4.928188267425658,24.992779428630627,2.391671159524536
