site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,light,mean_PAR_umolm2s,light_hrs,q.cms,epil_gm2_fit,fila_gm2_fit,epil_chla_mgm2_fit,fila_chla_mgm2_fit,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,log_q,year
GC,2020-09-17,7.354194668456372,7.210854082752072,7.497535254160671,-8.067013326949292,-8.28947893381367,-7.844547720084913,17.748211788982914,0.5939089293982939,864.0495826666665,12,8.751062022090059,15.503661238907965,57.47301105379992,36.10456053009352,73.9202036687973,3.53160065756145,26.378006480767244,8.010832357821863,32.521250763932215,2.1691750669574503,2020
GC,2020-09-18,7.277783844798048,7.035397331551697,7.520170358044399,-8.124829719026451,-8.502144727907133,-7.747514710145769,17.748211788982914,0.5774505036336407,840.1050093333333,12,8.836023789294817,15.56751634675659,57.586747121527694,36.86991077789279,76.21726222171777,3.5307874801373513,26.23181434452036,8.154934535402438,33.26493884670616,2.1788369778691874,2020
GC,2020-09-19,4.403480872448086,3.9904501688580742,4.816511576038098,-7.846620255192627,-8.489648363909211,-7.2035921464760415,17.748211788982914,0.31342475719220614,455.986629,12,9.119229679977344,15.619793274819232,57.50232216393139,37.63857334934889,78.2686724595438,3.524283312992165,25.944838146899507,8.29036974241107,33.82993911492598,2.2103853356041134,2020
GC,2020-09-20,6.5096163404285186,6.207687078939095,6.811545601917942,-7.546971286729982,-8.013944525546297,-7.079998047913667,17.748211788982914,0.5464311177586318,794.9763943333334,12,9.657320872274145,15.659988215569095,57.18756073457477,38.40745737804451,79.98914019540932,3.512902709557782,25.517310972335913,8.41742891521954,34.19424758604585,2.267716267343222,2020
GC,2020-09-21,7.82669598271153,7.6114064221818385,8.041985543241221,-8.179845426620634,-8.514954362547124,-7.844736490694143,17.748211788982914,0.5382232165518097,783.035113,12,9.770603228547154,15.687619791372326,56.61349186410238,39.17325450146944,81.29173806492844,3.497225707731642,24.950242035418313,8.536024804742196,34.3359673954308,2.2793782070910646,2020
GC,2020-09-22,6.683779102618195,6.42542945314237,6.94212875209402,-7.411896972927482,-7.813340625524331,-7.010453320330633,17.748211788982914,0.512936429209395,746.2465803333333,12,9.713962050410649,15.702413497751811,55.75769216638383,39.93263441933758,82.09739855513088,3.4778164720980964,24.24863026723372,8.646098267255518,34.23957529488488,2.273564237225645,2020
GC,2020-09-23,7.444524481527203,7.2382386367425395,7.650810326311865,-8.029549012162281,-8.353006202420843,-7.706091821903718,17.748211788982914,0.5057633551551974,735.8108193333333,12,9.85556499575191,15.70484863697252,54.61141284242045,40.682858743024234,82.35727040985337,3.4558215548198303,23.429149358268948,8.748799732298094,33.911731979322795,2.288036269834179,2020
GC,2020-09-24,4.382856081050156,3.985564456778878,4.7801477053214345,-6.689812949778951,-7.3065483422127135,-6.073077557345189,17.748211788982914,0.3801976270418038,553.131271,12,9.940526762956669,15.69561462436516,53.17387693193854,41.42125522614734,82.03829258843729,3.432302715382641,22.51018007996676,8.845276176620025,33.36545413685445,2.2966200135255708,2020
GC,2020-09-25,5.227905820716335,5.0487320290090665,5.407079612423603,-6.88560080673193,-7.167308827821287,-6.603892785642573,17.748211788982914,0.31485191291661907,458.06292933333333,12,9.940526762956669,15.675425232521023,51.450690726853466,42.14503770328164,81.1193426576846,3.408005086572632,21.50810478082287,8.936203004519136,32.61387332472103,2.2966200135255708,2020
GC,2020-09-26,6.51375800771557,6.3696609043102566,6.657855111120883,-7.3515749711918446,-7.575416911670652,-7.127733030713039,17.748211788982914,0.3488425822775982,507.514322,12,10.337015009912204,15.645013733880186,49.45414351074144,42.85131409844149,79.5929436729797,3.383384643413323,20.437112347160184,9.021787836398566,31.669868028516387,2.3357311436421964,2020
