date,site,sample,average.depth,cobble,sand,gravel,pebble,cpom.om.area.g.m2,epil.om.area.g.m2,epip.om.area.g.m2,fbom.area.g.m2,fila.om.area.g.m2,macro.om.area.g.m2,epil.chla.mg.m2.ritchie,epip.chla.mg.m2.ritchie,fbom.chla.mg.m2.ritchie,fila.chla.mg.m2.ritchie,total.chla.mg.m2.ritchie,phicocyanin.mg.m2,epip.phicocyanin.mg.m2,fbom.phicocyanin.mg.m2,total.algal.biomass.g.m2,year
2020-09-28,DL,1,23.25,0,0,0,1,NA,4.566826708,NA,1.91e-7,5.4573889,NA,14.39466859,NA,25.95973403,13.30334794,53.65775056,11.45331143,NA,22.8222,10,2020
2020-09-28,DL,2,22.875,0,0,0,1,NA,2.819483514,NA,2.31e-7,4.661946713,NA,9.373684428,NA,16.4164542,13.77815502,39.56829365,9.059527247,NA,20.1666,7.48,2020
2020-09-28,DL,3,26.5,0,0,0,1,NA,2.352979711,NA,1.38e-7,2.101055885,NA,15.13592338,NA,12.47126859,4.535078548,32.14227051,12.03088756,NA,16.62345,4.45,2020
2020-09-28,DL,4,29.75,0,0,0,1,NA,3.61920432,NA,9.52e-8,10.0429897,NA,15.16065419,NA,16.47252361,26.34746922,57.98064703,9.365829669,NA,21.5033,13.7,2020
2020-09-28,DL,5,26.125,0,0,0,1,NA,3.051566233,NA,1.33e-7,6.54335722,NA,17.99432871,NA,16.69050778,16.01502434,50.69986083,10.06069819,NA,15.4451,9.59,2020
2020-10-05,DL,1,26.25,0,0,0,1,NA,4.832620855,NA,2.24e-7,10.61990677,NA,16.35460996,NA,14.50408688,33.52625712,64.38495395,19.2564352,NA,26.32875,15.5,2020
2020-10-05,DL,2,26.875,0,0,0,1,NA,5.137387751,NA,2.2e-7,8.63566391,NA,12.12475187,NA,27.66965536,25.07528308,64.86969031,11.72175572,NA,22.1530625,13.8,2020
2020-10-05,DL,3,27.875,0,0,0,1,NA,2.469897957,NA,2.37e-7,3.735434285,NA,9.163191922,NA,24.82036881,14.9221487,48.90570943,8.025268439,NA,24.479825,6.21,2020
2020-10-05,DL,4,25,0,0,0,1,NA,5.237937443,NA,2.4e-7,7.442567877,NA,8.39902848,NA,22.0241375,19.9963366,50.41950258,17.39743508,NA,21.9525,12.7,2020
2020-10-05,DL,5,25.75,0,0,0,1,NA,4.583195262,NA,5.13e-7,23.64853289,NA,13.8748793,NA,37.6220492,40.07182024,91.56874874,14.05240405,NA,41.612,28.2,2020
2020-10-12,DL,1,29,0,0,0,1,NA,5.009362271,NA,3.79e-7,9.863349978,NA,28.28561381,NA,30.76246533,17.51810696,76.5661861,16.47097489,NA,35.351,14.9,2020
2020-10-12,DL,2,29,0,0,0,1,NA,5.66351986,NA,2.26e-7,5.065171464,NA,11.47358952,NA,21.5559929,12.64545186,45.67503427,13.44185696,NA,23.0086,10.7,2020
2020-10-12,DL,3,29,0,0,0,1,NA,3.511054942,NA,1.92e-7,4.510495348,NA,10.74261501,NA,17.17816055,13.23135075,41.15212631,9.214911597,NA,18.3309,8.02,2020
2020-10-12,DL,4,29,0,0,0,1,NA,5.440206009,NA,2.7e-7,11.48501212,NA,14.38650808,NA,27.2127822,22.83791854,64.43720882,18.16488645,NA,23.8554,16.9,2020
2020-10-12,DL,5,29,0,0,0,1,NA,3.454641888,NA,1.32e-7,7.642464159,NA,11.82998542,NA,21.6066994,22.09120581,55.52789063,6.996037115,NA,17.545,11.1,2020
2020-10-19,DL,1,31.875,0,0,0,1,NA,2.98375365,NA,2.42e-7,NA,NA,11.95217424,NA,26.75322358,NA,38.70539782,8.442666579,NA,26.054625,2.98,2020
2020-10-19,DL,2,32.25,0,0,0,1,NA,7.190472159,NA,1.56e-7,4.82257537,NA,22.22038727,NA,12.63769463,15.71024349,50.56832538,15.35884853,NA,19.5951,12,2020
2020-10-19,DL,3,35.25,0,0,0,1,NA,8.938399944,NA,2.57e-7,5.773501205,NA,27.90207004,NA,23.4369527,18.39726765,69.73629039,23.6899751,NA,31.3725,14.7,2020
2020-10-19,DL,4,35.25,0,0,0,1,NA,5.909048177,NA,1.9e-7,6.112766278,NA,16.21390616,NA,13.86438019,12.58742446,42.66571081,12.14687046,NA,20.6283,12,2020
2020-10-19,DL,5,24.625,0,0,0,1,NA,7.155396685,NA,3.16e-7,4.46298532,NA,16.99730256,NA,21.22913616,10.518754,48.74519272,13.1659299,NA,29.8455,11.6,2020
2021-06-22,DL,1,14.625,1,0,0,0,NA,14.8953846,NA,3.15e-8,NA,NA,28.29143989,NA,-164.3282258,NA,-136.0367859,40.29119692,NA,1.7506125,14.9,2021
2021-06-22,DL,2,17,1,0,0,0,NA,22.94520587,NA,2.72e-8,NA,NA,66.77920908,NA,-259.471221,NA,-192.6920119,60.69518471,NA,23.732,22.9,2021
2021-06-22,DL,3,24.375,1,0,0,0,NA,17.52019924,NA,8.21e-8,NA,NA,25.21824542,NA,-136.8759113,NA,-111.6576658,18.26730683,NA,41.071875,17.5,2021
2021-06-22,DL,4,16.75,1,0,0,0,NA,10.47587489,NA,1.45e-8,NA,NA,19.70518532,NA,-134.1036658,NA,-114.3984804,19.02026034,NA,16.081675,10.5,2021
2021-06-22,DL,5,17,1,0,0,0,NA,12.14546745,NA,4.08e-8,NA,NA,21.18344392,NA,-188.598034,NA,-167.4145901,16.14851437,NA,18.071,12.1,2021
2021-07-07,DL,1,8.5,1,0,0,0,NA,6.734490998,NA,1.75e-8,NA,NA,17.49928022,NA,2192.586806,NA,2210.086086,8.960614411,NA,3.56575,6.73,2021
2021-07-07,DL,2,31.5,1,0,0,0,NA,14.71708428,NA,1.95e-7,NA,NA,9.837778823,NA,19584.4194,NA,19594.25718,11.85141806,NA,4.74075,14.7,2021
2021-07-07,DL,3,29.5,1,0,0,0,NA,18.50114332,NA,2.12e-7,NA,NA,22.37241355,NA,38896.60893,NA,38918.98134,11.8497812,NA,52.4215,18.5,2021
2021-07-07,DL,4,11,1,0,0,0,NA,7.562272183,NA,9.18e-8,NA,NA,18.40807378,NA,26039.31388,NA,26057.72196,12.98762957,NA,21.406,7.56,2021
2021-07-07,DL,5,16.5,1,0,0,0,NA,12.89842095,NA,1.55e-6,NA,13.5087342,23.40636969,NA,36694.54718,NA,36717.95354,16.70247302,NA,25.839,12.9,2021
2021-07-20,DL,1,34.25,1,0,0,0,NA,12.69264484,NA,2.33e-7,NA,NA,25.46875941,NA,54.72786265,NA,80.19662206,18.48500861,NA,50.964,12.7,2021
