doy,site,phicocyanin.mg.m2_mean,phicocyanin.mg.m2_se,filamentous_chla.mgm2_mean,filamentous_chla.mgm2_se,filamentous_gm2_mean,filamentous_gm2_se,epilitheon_chla.mgm2_mean,epilitheon_chla.mgm2_se,epilitheon_gm2_mean,epilitheon_gm2_se,year
263,BN,21.994876405950322,3.966989764098434,51.12443120808587,22.484888408617937,17.21403555585166,10.031485606490012,49.41097652621215,7.57222639406451,34.44434027503998,4.531185143787149,2021
264,BN,22.21383472610585,3.956428838980492,43.739688980011024,22.6481556706565,15.620065265750062,10.149667298080882,49.281623300369645,7.52553001615316,34.255859480756484,4.500448455458025,2021
265,BN,22.43199814276123,3.948356738300604,36.9353439759574,22.89384420730112,14.112390820134477,10.27391007169139,49.14921936104394,7.520200306976228,34.055074097109895,4.472012858888698,2021
266,BN,22.64921873635451,3.9427996590552663,30.803663020842002,23.1556912330117,12.70192620382112,10.38904128843682,49.01362378122342,7.53453734997954,33.84201374537367,4.445887339764082,2021
267,BN,22.865504323241524,3.940084611370355,25.336518040658998,23.38898099367757,11.387031420456882,10.486095353440591,48.87493221496546,7.552007778546839,33.61715623610382,4.422492017675012,2021
268,BN,23.08090165375762,3.94070834853472,20.500682236659184,23.56682091103081,10.162927978393984,10.560516116867197,48.733299461591464,7.561576023085604,33.381091427177026,4.402498364466568,2021
269,BN,23.2954574782381,3.9452595525540195,16.262928810086574,23.674536706313983,9.024837385983322,10.610607870878418,48.58888032042035,7.556397071672564,33.13440917646997,4.386729485468692,2021
270,BN,23.509218547018282,3.954392172865202,12.590030962214769,23.707211214592498,7.967981151580595,10.636979888347623,48.44182959078079,7.533128821829278,32.877699341859376,4.376126118791155,2021
271,BN,23.72223161043346,3.9687980900587307,9.4487618942841891,23.667756264063,6.9875807835365435,10.642107928776463,48.29230207198918,7.4913297309238756,32.611551781221856,4.371709978113984,2021
272,BN,23.93454341881896,3.9891794375957055,6.8058948075407315,23.56546207509926,6.078857790202633,10.629986206545214,48.14045256336624,7.4329724772229016,32.3365563524341,4.374544481870578,2021
273,BN,24.14620072251009,4.016221160265396,4.628202903259101,23.4149045598955,5.237033679933848,10.605840206757712,47.9864358642406,7.362061441952632,32.05330291337286,4.385693415562533,2021
274,BN,24.35725027184217,4.050564623484296,2.882459382677318,23.23507230938911,4.457329961081488,10.575871728231501,47.830406773928594,7.284320678208744,31.76238132191474,4.406178671129343,2021
275,BN,24.567738817150495,4.092783262385258,1.535437447049084,23.048571830650364,3.7349681419975873,10.547010371138487,47.67252009175188,7.20690839790069,31.46438143593644,4.436938795891336,2021
276,BN,24.777713108770392,4.14336132765794,0.5539102976368611,22.880772745718943,3.065169731035965,10.526650090316409,47.51293061703662,7.1381088974441,31.159893113314684,4.47879053350532,2021
277,BN,24.987219897037157,4.202676715143295,-0.09534886431993073,22.758768710008024,2.4431562365468906,10.52235609050397,47.351793149098825,7.086953838093837,30.849506211926087,4.532395720110521,2021
278,BN,25.196305932286123,4.270988652522281,-0.4455668375488955,22.710067214152218,1.864149166887188,10.541537031247248,47.18926248726609,7.062736579094853,30.533810589647356,4.5982357192208765,2021
279,BN,25.40501796485259,4.348430683452039,-0.529970420809839,22.76099485816124,1.3233700304057443,10.591090220401147,47.02549343085791,7.0744114961600095,30.21339610435519,4.676595024688953,2021
280,BN,25.613402745071877,4.435008988019027,-0.3817864128443418,22.934914447602385,0.8160403354566554,10.677041572743265,46.86064077919718,7.129915649322656,29.88885261392626,4.767554812259918,2021
281,BN,25.821507023279295,4.5306056738714835,-0.03424161240426571,23.25047095305824,0.3373815903912494,10.804214088390363,46.694859331603126,7.23550171811803,29.560769976237246,4.870996236071484,2021
282,BN,26.029377549810143,4.6349863287365665,0.47943718177216965,23.72016282195065,-0.11738469643647775,10.975963964666432,46.52830388740106,7.395204756633482,29.229738049164837,4.986612340186983,2021
283,BN,26.23706107499974,4.74781088937784,1.1260231709352908,24.34951871482768,-0.5530370166738763,11.194018770869333,46.361129245911044,7.6105558283575565,28.896346690585688,5.113926756567926,2021
284,BN,26.444604349183415,4.868646775794404,1.8722895563300384,25.13703221565464,-0.9743538619701333,11.458437325722509,46.19349020645341,7.880597322406786,28.561185758376485,5.252316989812945,2021
285,BN,26.652054122696452,4.9969832573754545,2.6850095392244313,26.07481642925143,-1.386113723970702,11.767690164034244,46.02554156835418,8.202172328599975,28.224845110413934,5.401040058240802,2021
286,BN,26.85945714587418,5.132246134167731,3.5309563208674675,27.14977313285981,-1.7930950943238742,12.118839509165118,45.85743813093364,8.570394162630155,27.887914604574707,5.559258509026988,2021
173,DL,23.229646369696905,4.594804067421542,-14.411244836103656,25.2544405084954,-9.307427444347471,10.454242124141807,25.596390585371708,7.224769695933556,14.784707261860127,4.546585875721005,2021
174,DL,22.91831025020932,4.444438553485796,-14.102010873378696,24.205967146956752,-7.549125964183027,10.12141180158149,24.31522183428505,6.823836657258567,14.619496982704614,4.361137531085295,2021
175,DL,22.60753225698562,4.300363935980547,-13.764314501951162,23.284347682228226,-5.798965583965174,9.834871353969183,23.05621412845857,6.468638431665175,14.454423489022755,4.184300571851789,2021
176,DL,22.297870516289674,4.163228650642751,-13.369693313121509,22.500659806534546,-4.065087403641218,9.597247694952285,21.841528513152415,6.165461129110854,14.289623566288219,4.0171901519924305,2021
177,DL,21.989883154385385,4.033586746973814,-12.889684898188783,21.859518885170505,-2.3556325231569275,9.40882649029037,20.69332603362681,5.918427488238392,14.125233999974656,3.8608027369019027,2021
178,DL,21.68412829753664,3.9118784863902203,-12.29582684844977,21.358035453954052,-0.678742042459433,9.267378888346741,19.633767735143646,5.72871032064716,13.961391575555725,3.7159744414589584,2021
179,DL,21.381164072007298,3.7984125690822266,-11.559656755204607,20.98548363274859,0.9574429385040197,9.168217435622312,18.68501466296087,5.594005157859892,13.798233078505097,3.5833380659077303,2021
180,DL,21.081548604061265,3.6933516618910214,-10.65271220974818,20.72384242242469,2.544781319788484,9.104488074566968,17.86922786234063,5.508472260759641,13.635895294296425,3.463282797972955,2021
181,DL,20.78584001996241,3.596703089979809,-9.54653080338533,20.5491582919932,4.075132001445397,9.067655720483065,17.208568378542896,5.463224605452831,13.474515008403362,3.355921774126003,2021
