site,date,epil_gm2,fila_gm2,epil_chla_mgm2,fila_chla_mgm2,GPP,ER,NPP,light,fila_prod_gCd,fila_turnover,epil_prod_gCd,epil_turnover
PL,2021-07-24,6.954201226483235,3.4107769996992916,14.199018481675308,16.110027867474333,15.31804686131023,-12.728426802507547,6.4704107357064835,0.929132536750745,0.3094402438481175,5.511204614635391,1.0328674704430372,3.3664537927118117
PL,2021-07-25,6.826385942203396,3.654287582145157,14.124251725196824,16.631091616585426,15.580669812332657,-12.908954268316792,6.581343831624241,0.919170647712035,0.31602376127200016,5.781665858662964,1.0164129813188565,3.358076917389304
PL,2021-07-26,6.696855812390473,3.8957098956237175,14.061059510146205,17.050069167045155,15.138875371776376,-13.174778340338532,6.394727906171569,0.8977421029630931,0.31643212880560784,6.155680066888766,0.9882759947798485,3.388150601534284
PL,2021-07-27,6.567911767198298,4.1321438170081635,14.010610940888618,17.374458475488147,13.235591440470678,-13.67285843274328,5.590772356634579,0.856962253838176,0.3078050954820888,6.71227324962951,0.939998960290378,3.493573953086812
PL,2021-07-28,6.4417019835470315,4.360447368783784,13.974087420972207,17.61443333783909,13.107075173653834,-13.188284947995458,5.536486517189544,0.8615079290969283,0.31371175303473287,6.94976730486252,0.9425216642908449,3.417269983069185
PL,2021-07-29,6.320267480068333,4.577478045841786,13.95263476673391,17.782719691798693,13.41974120655144,-12.46579100251022,5.668558032198499,0.5412242072459384,0.19896570728401372,11.503183408655598,0.5912103734665342,5.345193321803323
PL,2021-07-30,6.205669841746061,4.7807963604001475,13.94719928028629,17.895484966291853,16.257082873077604,-14.27913482593617,6.867063699806041,0.8793821068974491,0.3253298636607376,7.347613752092685,0.9602255055337169,3.23136065746181
PL,2021-07-31,6.099876885388895,4.968244336156638,13.958715203658482,17.970410832152247,14.720258168447174,-13.845359797870678,6.217902148221054,0.8718757042310513,0.3239033322368156,7.669331929756442,0.9528150952077834,3.2009761999303104
PL,2021-08-01,6.004744628625219,5.137806991219084,13.988173700079235,18.02578389561037,15.655128610951182,-15.947886205964158,6.612795557442235,0.7244175347773417,0.2699516264993659,9.516162317383097,0.7933385850379554,3.7844778647303134
PL,2021-08-02,5.922046791458036,5.287649195916047,14.036633885206545,18.08022089725126,12.244104102048269,-14.20193205193214,5.171963720198755,0.5344396842056772,0.19975849863423123,13.235104468816676,0.5873138977948243,5.041636860368387
PL,2021-08-03,5.853509278210097,5.41614933455329,14.105234906318788,18.15257000828541,16.198310516337287,-13.703701310565458,6.8422379964080555,0.8404267531228952,0.3153848470583631,8.586571905832578,0.9280872334209317,3.153533993046132
PL,2021-08-04,5.800706253371157,5.522062767201114,14.19508766270284,18.26057138216817,14.332305481153712,-12.440166130724949,6.054029217452706,0.8412452485803326,0.3175702576037616,8.694237944176585,0.9349089338676312,3.1022841066317417
PL,2021-08-05,5.764521533939357,5.605072692795614,14.30679530777113,18.415204176680547,11.008748124111836,-11.870575318918052,4.650143891964114,0.7341483426525279,0.2794880190049195,10.027393504651364,0.8223085255470435,3.505084378217099
PL,2021-08-06,5.7449844837508595,5.66584232661201,14.440321506665397,18.618683006851583,12.75801496156449,-11.893595512824431,5.389041939942853,0.7671062936000728,0.29526185103661795,9.594606121177064,0.8672434235950585,3.3122098867787795
