site,date,doy,epilithon_gm2,filamentous_gm2,epilithon_chla_mgm2,filamentous_chla_mgm2,NPP,NPP_chla,year,site_year,epilithon_gm2_upper,epilithon_gm2_lower,filamentous_gm2_upper,filamentous_gm2_lower,epilithon_chla_upper,epilithon_chla_lower,filamentous_chla_upper,filamentous_chla_lower,frac_fila,frac_fila_upper,frac_fila_lower,NPP_mod,NPP_upper,NPP_lower,PAR_bc_Jm2
GC,2021-09-21,264,12.585268119128735,30.3226739814932,32.23246046165019,56.00500442345254,4.462017703209674,4.462017703209674,2021,GC_2021,17.62400719731101,8.741706638874874,65.54285656732475,10.700381421873502,43.046904734675195,22.616304240942913,116.4887986676452,21.381931177148378,0.6996057599386316,0.835581674963484,0.4511166770763885,4.42555503912738,5.355721910951216,3.5119714424428383,39.161129568367365
GC,2021-09-22,265,15.26157335199313,30.50025283556074,35.79896145011796,61.32712435540194,5.393633796779077,5.393633796779077,2021,GC_2021,21.020326101175726,10.69259142941749,65.96140199992516,10.599629419928782,47.72947914059109,25.59651846441312,125.26527616973208,23.578900074635666,0.660596334785402,0.8283515575674951,0.4032706977337303,5.323772340624517,6.259576156212127,4.384739848415194,38.012567223839824
GC,2021-09-23,266,15.38053700248877,32.16888567535585,37.919108269718954,64.03999585310184,5.6770191726034005,5.6770191726034005,2021,GC_2021,20.96581947254574,10.209082910416077,62.01184421602639,10.860307387140098,50.28086898010383,26.991475971207958,132.62714164028216,25.041145628449133,0.6576862768146974,0.8219103921346689,0.40537224395758087,5.61646982120099,6.529166433243625,4.656675481348279,35.39910822919458
GC,2021-09-24,267,15.276699821451276,28.07428673585086,36.11888097511025,56.912312840814074,5.241314036775066,5.241314036775066,2021,GC_2021,20.079207125622656,10.597040333934062,58.34776382195879,10.417815328470999,47.702771675614734,25.71122017628028,116.38433388489828,22.560097978737158,0.6562942576970456,0.8118126839107476,0.38735888769776006,5.1798067501650635,6.1087992918841545,4.257907474498855,38.07873257502285
GC,2021-09-25,268,13.728253572521451,22.15434469794219,32.199204912789206,53.19405557884523,4.390721611129415,4.390721611129415,2021,GC_2021,18.374412610623622,9.8177433444973925,50.15566699713416,7.703583436212216,43.70320870288049,22.530075516609283,108.13548066980921,19.438251363360873,0.6144516491875804,0.7873538968936554,0.3689160134826005,4.3556755812088905,5.26740248295887,3.443646718994,37.89523322321896
GC,2021-09-26,269,14.09122499558683,23.001979500533704,34.872786823936494,53.687848955215806,4.757593351234736,4.757593351234736,2021,GC_2021,19.1827705599143,10.042795596154074,48.77335622518204,8.163865216288034,46.068561372009185,24.416385893087764,106.2381161676973,20.525100275579536,0.6102164511980213,0.7966962553861205,0.3662573637411053,4.6975360618730875,5.607606072901486,3.781917445426963,37.97462314029815
GC,2021-09-27,270,13.687512927315497,24.999414527555864,34.48834790164086,49.81017496673494,4.65345467585186,4.65345467585186,2021,GC_2021,19.0155947633048,9.197727740041703,51.6670764647662,8.779107559530054,46.13657359534527,24.608975852520633,100.11508041768299,18.964091837370606,0.6317473040563082,0.8013413445893974,0.38801181915687877,4.616192555562611,5.533006918461995,3.579368451922709,37.70075452072667
GC,2021-09-28,271,14.068863171200165,24.045497367464606,33.48054864722892,44.92799932806884,3.3846291531309385,3.3846291531309385,2021,GC_2021,19.401746954912014,9.720481760279895,47.07101321491227,8.225562578819524,45.97727876265405,23.25148657554698,94.4155645472625,17.44361059924099,0.623503626451554,0.791397812700197,0.3637704523656007,3.3601461520480824,4.271507003618531,2.411035781500012,19.79272817099455
GC,2021-09-29,272,12.782706112893024,19.119624508204392,30.94638052586308,42.1948860492547,3.796493015993879,3.796493015993879,2021,GC_2021,17.128936537772496,9.17439639985821,42.13671860646383,6.44976420253498,41.89083327471396,21.974679497610385,89.5916369425739,15.80115210916762,0.5992801045113909,0.76887846431701945,0.3424150791609962,3.7827482637270338,4.696275835333532,2.890153861598869,38.00848491215664
GC,2021-09-30,273,13.06736598451638,19.58014436452468,31.523868202225398,42.3474354091347,3.700238144014595,3.700238144014595,2021,GC_2021,17.70134601454861,8.796956489400817,39.387161351451375,7.654746616057339,41.24906291847943,22.605771428450225,85.97601624185477,14.544203493275706,0.6048268209551853,0.7624061013926489,0.36505960935828485,3.6903269959641714,4.624670788079452,2.74115180207698,37.3054338987989
